Asociaci\'on Argentina Amigos de la Astronom\'ia, Argentina
Comisi\'on de Investigaciones Cient\'ificas de la Provincia de Buenos Aires, Argentina
Comisi\'on Nacional de Actividades Espaciales, Argentina
Complejo Astron\'omico El Leoncito, CONICET--UNLP--UNC--UNSJ, Argentina
Consejo Nacional de Investigaciones Cient\'ificas y T\'ecnicas, Argentina
Departamento de Astronom\'ia y Geof\'isica, UNSJ, Argentina
Departamento de Ciencia y Tecnolog\'ia, UNTREF, Argentina
Departamento de Ciencias de la Atm\'osfera y los Oc\'eanos, Facultad de Ciencias Exactas y Naturales, UBA, Argentina
Departamento de Espectroscop\'ia, Facultad de Ciencias Astron\'omicas y Geof\'isicas, UNLP, Argentina
Departamento de F\'isica, Facultad de Ciencias Exactas y Naturales, UBA, Argentina
Departamento de Geof\'isica y Astronom\'ia, Facultad de Ciencias Exactas, F\'isicas y Naturales, UNSJ, Argentina
Departamento de Qu\'imica Biol\'ogica, Facultad de Ciencias Exactas y Naturales, UBA, Argentina
Facultad de Arquitectura, Dise\~no y Urbanismo, UBA, Argentina
Facultad de Ciencias Astron\'omicas y Geof\'isicas, UNLP, Argentina
Facultad de Ciencias Exactas, Ingenier\'ia y Agrimensura, UNR, Argentina
Facultad de Ciencias Exactas y Naturales, UBA, Argentina
Facultad de Matemática, Astronomía, Física y Computación, UNC, Argentina
Facultad Regional Mendoza, UTN, Argentina
Facultad de Ciencias Exactas, Físicas y Naturales,  UNSJ, Argentina 
Facultad de Ingeniería, UNLP, Argentina
Facultad de Ciencias Exactas, F\'{\i}sicas y Naturales, UNC, Argentina
Observatorio Astron\'omico de C\'ordoba, UNC, Argentina
Universidad Nacional de C\'ordoba. Observatorio Astron\'omico. C\'ordoba, Argentina
Observatorio Astron\'omico F\'elix Aguilar, UNSJ, Argentina
Grupo de Ciencias Planetarias, Facultad de Ciencias Astron\'omicas y Geof\'isicas, UNLP, Argentina
Grupo de Ciencias Planetarias, Instituto de Astrof\'isica de La Plata, CONICET--UNLP, Argentina
Grupo de Evoluci\'on Estelar y Pulsaciones, Facultad de Ciencias Astron\'omicas y Geof\'isicas, UNLP, Argentina
Grupo de Gravitaci\'on, Astrof\'isica y Cosmolog\'ia, Facultad de Ciencias Astron\'omicas y Geof\'isicas, UNLP, Argentina
Instituto Argentino de Radioastronomía, CONICET--CICPBA, Argentina
Instituto de Astrof\'isica de La Plata, CONICET--UNLP, Argentina
Instituto de Astronom\'ia Te\'orica y Experimental, CONICET--UNC, Argentina
Instituto de Astronom\'ia y F\'isica del Espacio, CONICET--UBA, Argentina
Instituto de Ciencias Astron\'omicas, de la Tierra y del Espacio, CONICET--UNSJ, Argentina
Instituto de F'\isica de Buenos Aires, CONICET--UBA, Argentina
